institute,themes,mention_count
Allen,academic_pressure,1
Allen,batch_placement,2
Allen,faculty_quality,4
Allen,fees,3
Allen,hostel_mess,2
Allen,infrastructure,1
Allen,marketing_credibility,1
Allen,uncategorized,50
Bansal Classes,academic_pressure,1
Bansal Classes,batch_placement,1
Bansal Classes,faculty_quality,8
Bansal Classes,fees,2
Bansal Classes,hostel_mess,1
Bansal Classes,marketing_credibility,1
Bansal Classes,uncategorized,24
Career Point,academic_pressure,1
Career Point,batch_placement,1
Career Point,faculty_quality,3
Career Point,fees,5
Career Point,hostel_mess,1
Career Point,infrastructure,1
Career Point,uncategorized,25
Motion Education,academic_pressure,1
Motion Education,fees,3
Motion Education,marketing_credibility,4
Motion Education,uncategorized,28
Resonance,academic_pressure,2
Resonance,faculty_quality,6
Resonance,fees,3
Resonance,hostel_mess,10
Resonance,infrastructure,2
Resonance,uncategorized,24
Vibrant Academy,faculty_quality,1
Vibrant Academy,marketing_credibility,1
Vibrant Academy,uncategorized,11
